cle;libelle;offres;part_pct
CDI;Contrat à durée indéterminée;9351;49.78
MIS;Mission d'intérim;5742;30.57
CDD;Contrat à durée déterminée;3302;17.58
SAI;Contrat saisonnier;132;0.70
LIB;Profession libérale;114;0.61
CCE;Contrat de chantier;95;0.51
DIN;Contrat d'insertion;19;0.10
FRA;Franchise;14;0.07
DDI;DDI;12;0.06
TTI;TTI;3;0.02
