cle;libelle;offres;employeurs;part_pct
31;Haute-Garonne;5623;1302;29.94
34;Hérault;3246;892;17.28
30;Gard;1712;550;9.11
81;Tarn;1183;356;6.30
11;Aude;1095;300;5.83
66;Pyrénées-Orientales;1003;317;5.34
12;Aveyron;960;316;5.11
65;Hautes-Pyrénées;918;282;4.89
82;Tarn-et-Garonne;862;276;4.59
32;Gers;674;238;3.59
09;Ariège;650;184;3.46
46;Lot;614;244;3.27
48;Lozère;244;120;1.30
